Time(s),Voltage(V)
0.006240000000000001,0.5015625
0.006260000000000001,0.509375
0.006280000000000001,0.5007812500000001
0.006300000000000001,0.509375
0.00632,0.50390625
0.00634,0.50625
0.00636,0.5007812500000001
0.00638,0.5085937500000001
0.0064,0.5046875000000001
0.00642,0.50625
0.00644,0.5078125
0.0064600000000000005,0.5031249999999999
0.0064800000000000005,0.5085937500000001
0.006500000000000001,0.5031249999999999
0.006520000000000001,0.4984374999999999
0.006540000000000001,0.5125000000000001
0.006560000000000001,0.5
0.006580000000000001,0.5125
0.006600000000000001,0.5046875000000001
0.006620000000000001,0.50625
0.006640000000000001,0.50703125
0.00666,0.5031249999999999
0.00668,0.50234375
0.0067,0.509375
0.00672,0.50234375
0.00674,0.509375
0.00676,0.49921875
0.0067800000000000004,0.5125000000000001
0.0068000000000000005,0.50234375
0.0068200000000000005,0.509375
0.006840000000000001,0.50390625
0.006860000000000001,0.509375
0.006880000000000001,0.50625
0.006900000000000001,0.50625
0.006920000000000001,0.5015625
0.006940000000000001,0.509375
0.006960000000000001,0.50625
0.006980000000000001,0.50625
0.007,0.503125
0.00702,0.5093749999999999
0.00704,0.50546875
0.00706,0.509375
0.00708,0.49765624999999997
0.0071,0.51484375
0.0071200000000000005,0.5046875000000001
0.0071400000000000005,0.50625
0.0071600000000000006,0.5062500000000001
0.007180000000000001,0.50625
0.007200000000000001,0.50078125
0.007220000000000001,0.5117187500000001
0.007240000000000001,0.49453125
0.007260000000000001,0.5187499999999999
0.007280000000000001,0.50703125
0.007300000000000001,0.5062500000000001
0.007320000000000001,0.5070312499999999
0.00734,0.50625
0.00736,0.4953125
0.00738,0.5187499999999999
0.0074,0.49687499999999996
0.00742,0.51484375
0.00744,0.49921875
0.0074600000000000005,0.515625
0.0074800000000000005,0.49765625
0.007500000000000001,0.515625
0.007520000000000001,0.50234375
0.007540000000000001,0.5125
0.007560000000000001,0.50234375
0.007580000000000001,0.5125000000000001
0.007600000000000001,0.5046875000000001
0.007620000000000001,0.509375
0.007640000000000001,0.4984375
0.007660000000000001,0.5156249999999999
0.007680000000000001,0.49687499999999996
0.0077,0.5187499999999999
0.00772,0.5
0.00774,0.515625
0.00776,0.49921875
0.0077800000000000005,0.515625
0.0078000000000000005,0.49921875
0.00782,0.515625
0.007840000000000001,0.5046875000000001
0.00786,0.5093749999999999
0.00788,0.5015625
0.0079,0.5125000000000001
0.00792,0.503125
0.007940000000000001,0.5117187500000001
0.00796,0.49453125
0.007980000000000001,0.5187499999999999
0.008,0.49765624999999997
0.008020000000000001,0.515625
0.00804,0.5
0.008060000000000001,0.515625
0.00808,0.5
0.008100000000000001,0.515625
0.00812,0.49609375
0.008140000000000001,0.5187499999999999
0.00816,0.5015625
0.008180000000000002,0.5125000000000001
0.0082,0.5015625
0.00822,0.5125
0.00824,0.5007812500000001
0.00826,0.5125000000000001
0.008280000000000001,0.50546875
0.0083,0.509375
0.008320000000000001,0.49531249999999993
0.00834,0.5187499999999999
0.008360000000000001,0.5
0.00838,0.51484375
0.008400000000000001,0.5085937500000001
0.00842,0.503125
0.008440000000000001,0.49765624999999997
0.00846,0.515625
0.008480000000000001,0.4984374999999999
0.0085,0.515625
0.008520000000000002,0.50390625
0.00854,0.509375
0.00856,0.50234375
0.00858,0.509375
0.0086,0.5015625
0.008620000000000001,0.51171875
0.00864,0.49765625
0.008660000000000001,0.515625
0.00868,0.5015625
0.008700000000000001,0.5125
0.00872,0.49609375
0.008740000000000001,0.51484375
